Species,Habitat,Schooling,Marine_Brackish
Acanthopagrus berda,D,,MB
Ambassis ambassis,D,,MB
Arius arius,D,,MB
Chirocentrus nudus,P,,M
Datnoides polota,D,,B
Etroplus suratensis,D,,B
Gerres oyena,D,,MB
Glossoglobius guiris,B,,MB
Hexanematichthys sagor,D,,MB
Ilisha melastoma,P,,MB
Jonhius carutta,D,,MB
Jonhius sp.,,,
Karalla daura,D,1,M
Lates calcarifer,D,,MB
Lepturacanthus savala,D,,MB
Lutjanus lutjanus,D,1,M
Mugil cephalus,D,,MB
Nematolosa nasus,P,,MB
Oreochromis mosambicus,D,,B
Plotosus canius,D,,MB
Rastrelliger kangurta,P,1,M
Sardinella longiceps,P,1,M
Selaroides leptulepis,D,1,MB
Siganus canaliculatus,D,,MB
Siganus javus,D,,MB
Strongylura leura,D,,MB
Strongylura strongylura,P,,MB
Terapon puta,D,,MB
Terapon threps,D,,MB