,Cymothoa frontalis,Cymothoa indica,Anilocra dimidiata,Nerocila orbignyi,Nerocila sigani,Nerocila phaiopleura,Nerocila depressa,Joryma malabaricus,Joryma hilsae,Joryma sawayah,Mothocya renardi,Mothocya colletei,Norileca indica,Lobothorax typus,Nerocila serra,Agarna malayi
Acanthopagrus berda,,1,,,,,,,,,,,,,,
Ambassis ambassis,,1,,,,,,,,,,,,,,
Arius arius,,1,1,,,,,,,,,,,,,
Chirocentrus nudus,,,,,,,,,,,,,,,,
Datnoides polota,,1,,,,,,,,,,,,,,
Etroplus suratensis,,1,,,,,,,,,,,,,,
Gerres oyena,,1,,,,,,,,,,,,,,
Glossoglobius guiris,1,1,,,,,,,,,,,,,,
Hexanematichthys sagor,,,,,,,,,,,,,,,1,
Ilisha melastoma,,,,,,,,1,1,1,,,,,,
Jonhius carutta,,1,,,,,,,,,,,,,,
Jonhius sp.,,1,,,,,,,,,,,,,,
Karalla daura,,,1,,,,,,,,,,,,,
Latece calcarifer,,1,,,,,,,,,,,,,,
Lepturacanthus savala,,,,,,,,,,,,,,1,,
Lutjanus lutjanus,,,,,1,,,,,,,,,,,
Mugil cephalus,,,,1,,,,,,,,,,,,
Nematolosa nasus,,,,,,,,,,,,,,,,1
Oreochromis mosambicus,,1,,,,,,,,,,,,,,
Plotosus canius,,,,1,,,,,,,,,,,,
Rastrelliger kangurta,,,,,,1,,,,,,,1,,,
Sardinella longiceps,,,1,,,,,,,,,,,,,
Selaroides leptulepis,,,,,,,1,,,,,,,,,
Siganus canaliculatus,,,,,1,,,,,,,,,,,
Siganus javus,,1,,,,,,,,,,,,,,
Strongylura leura,,,,,,,,,,,1,1,,,,
Strongylura strongylura,1,,,,,,,,,,,,,,,
Terapon puta,,,,,1,,,,,,,,,,,
Terapon threps,,,,,,,,,,,,,,,,