,Anilocra dimidiate,Nerocila loveni,Nerocila depressa,Nerocila sigani,Nerocila serra,Catoessa boscii,Cymothoa eremita,Nerocila phaiopleura,Nerocila poruvae,Nerocila sundaica,Norileca indica
Ablennes hians,,,,,,,,,1,,
Alepes djedaba,,,,,1,1,,,,,
Alepes kleinii,,,,,,1,,,,,
Arius arius,,,,,1,,,,1,,
Arius maculatus,,,,,1,,,,,,
Carangoides ferdau,,,,,,1,,,,,
Carangoides malabaricus,,,1,,,1,,1,,,
Deveximentum insidiator,,1,,,,,,,,,
Dusumeria acuta,,,,,,,,1,,,
Epinephelus coioides,,,,,,,,1,,,
Escualosa thoracata,,1,,,,,,,,,
Eubleekeria splendens,,1,,,,,,,,,
Lactarius lactarius,1,,,,,,,,,,
Leiognathus blochii.,1,,,,,1,,,,,
Leiognathus longispinus,,1,,,,,,,,,
Leognathus splendens,,,,,,,,1,,,
Lobotes surinamensis,,,,,,1,,,,,
Lutjanus jonhii,,,,,,,1,,,,
Lutjanus lutjanus,,,,1,,,,,,,
Nemipterus japonicas,,,,1,,,,,,,
Nemipterus randalli,1,,,,,,,,,,
Nibea maculate,,,,,1,,,,,,
Opisthopterus tardoore,,,1,,,,,1,,,
Parastromateus niger,,,,1,,,,1,,,
Plotosus lineatus,,,,,1,,,,,,
Priacanthus tayneus,1,,,1,,,,,1,,
Rastrelliger kanagurta,,,,,,,,1,,,1
Rhynchoramphus,,,,,,,,,1,,
Sardinella gibbosa,,,1,,,,,1,,,
Sardinella longiceps,1,,,,,,,1,,,
Scleroides leptolepis,,,,,,,,1,,,
Secuter insidiator,,1,,,,,,,,,
Setipinna taty,,,,,,,,1,,,
Siganus canaliculatus,,,,,,,,,1,,
Siganus javus,,,,,,,,1,,,
Stophedin sathete,,,,,,1,,,,,
Terapon jarbua,,,,,1,,,,1,1,
Thryssa dussummeri,,,,,,,,1,,,